SubID,AgeGroup,ToD_Condition,Date
Sub001_ToD_Online,YA,Morning,23/10/24
Sub002_ToD_Online,YA,Morning,23/10/24
Sub003_ToD_Online,OA,Night,23/10/24
Sub004_ToD_Online,OA,Night,23/10/24
Sub005_ToD_Online,OA,Morning,24/10/24
Sub006_ToD_Online,OA,Morning,24/10/24
Sub007_ToD_Online,OA,Morning,24/10/24
Sub008_ToD_Online,YA,Night,23/10/24
Sub009_ToD_Online,YA,Night,23/10/24
Sub010_ToD_Online,YA,Morning,24/10/24
Sub011_ToD_Online,YA,Morning,24/10/24
Sub012_ToD_Online,YA,Night,24/10/24
Sub013_ToD_Online,YA,Night,24/10/24
Sub014_ToD_Online,YA,Night,24/10/24
Sub015_ToD_Online,YA,Night,24/10/24
Sub016_ToD_Online,OA,Night,24/10/24
Sub017_ToD_Online,OA,Night,24/10/24
Sub018_ToD_Online,OA,Night,24/10/24
Sub019_ToD_Online,OA,Night,24/10/24
Sub020_ToD_Online,YA,Morning,25/10/24
Sub021_ToD_Online,YA,Morning,25/10/24
Sub022_ToD_Online,YA,Morning,25/10/24
Sub023_ToD_Online,YA,Morning,25/10/24
Sub024_ToD_Online,YA,Night,25/10/24
Sub025_ToD_Online,YA,Night,25/10/24
Sub026_ToD_Online,YA,Night,25/10/24
Sub027_ToD_Online,YA,Morning,26/10/24
Sub028_ToD_Online,YA,Morning,26/10/34
Sub029_ToD_Online,YA,Morning,26/10/24
Sub030_ToD_Online,YA,Morning,27/10/24
Sub031_ToD_Online,YA,Morning,27/10/24
Sub032_ToD_Online,YA,Morning,27/10/24
Sub033_ToD_Online,YA,Morning,27/10/24
Sub034_ToD_Online,YA,Morning,27/10/24
Sub035_ToD_Online,YA,Morning,27/10/24
Sub036_ToD_Online,YA,Morning,27/10/24
Sub037_ToD_Online,YA,Morning,28/10/24
Sub038_ToD_Online,YA,Morning,28/10/24
Sub039_ToD_Online,YA,Morning,28/10/24
Sub040_ToD_Online,OA,Morning,25/10/24
Sub041_ToD_Online,OA,Morning,25/10/24
Sub042_ToD_Online,OA,Morning,25/10/24
Sub043_ToD_Online,OA,Morning,25/10/24
Sub044_ToD_Online,OA,Morning,25/10/24
Sub045_ToD_Online,OA,Morning,25/10/24
Sub046_ToD_Online,OA,Night,25/10/24
Sub047_ToD_Online,OA,Night,25/10/24
Sub048_ToD_Online,OA,Night,25/10/24
Sub049_ToD_Online,OA,Morning,26/10/24
Sub050_ToD_Online,OA,Morning,26/10/24
Sub051_ToD_Online,OA,Morning,26/10/24
Sub052_ToD_Online,OA,Morning,26/10/24
Sub053_ToD_Online,OA,Morning,26/10/24
Sub054_ToD_Online,OA,Morning,26/10/24
Sub055_ToD_Online,OA,Morning,27/10/24
Sub056_ToD_Online,OA,Morning,27/10/24
Sub057_ToD_Online,OA,Morning,27/10/24
Sub058_ToD_Online,OA,Morning,27/10/24
Sub059_ToD_Online,OA,Morning,27/10/24
Sub060_ToD_Online,OA,Morning,28/10/24
Sub061_ToD_Online,YA,Morning,28/10/24
Sub062_ToD_Online,YA,Night,28/10/24
Sub063_ToD_Online,YA,Night,28/10/24
Sub064_ToD_Online,YA,Night,28/10/24
Sub065_ToD_Online,YA,Night,28/10/24
Sub066_ToD_Online,YA,Night,28/10/24
Sub067_ToD_Online,OA,Night,28/10/24
Sub068_ToD_Online,OA,Night,28/10/24
Sub069_ToD_Online,OA,Night,28/10/24
Sub070_ToD_Online,OA,Night,28/10/24
Sub071_ToD_Online,OA,Night,28/10/24
Sub072_ToD_Online,OA,Night,28/10/24
Sub073_ToD_Online,OA,Night,28/10/24
Sub074_ToD_Online,OA,Night,6/11/2024
Sub075_ToD_Online,OA,Night,6/11/2024
Sub076_ToD_Online,OA,Night,6/11/2024
Sub077_ToD_Online,OA,Night,6/11/2024
Sub078_ToD_Online,OA,Night,6/11/2024
Sub079_ToD_Online,OA,Night,6/11/2024
Sub080_ToD_Online,YA,Night,6/11/2024
Sub081_ToD_Online,YA,Night,6/11/2024
Sub082_ToD_Online,YA,Night,6/11/2024
Sub083_ToD_Online,YA,Night,6/11/2024
Sub084_ToD_Online,YA,Night,6/11/2024
Sub085_ToD_Online,YA,Night,6/11/2024
Sub086_ToD_Online,YA,Night,6/11/2024
Sub087_ToD_Online,YA,Morning,6/11/2024
Sub088_ToD_Online,YA,Morning,6/12/2024
Sub089_ToD_Online,YA,Morning,6/13/2024
Sub090_ToD_Online,OA,Morning,6/12/2024
Sub091_ToD_Online,OA,Morning,6/12/2024
Sub092_ToD_Online,YA,Morning,6/13/2024
