subject_ID,AgeGroup,ToD_Condition,attention1_pass,Attention1abutton,attention1a_pass,attention2_pass,Attention2abutton,attention2a_pass,attention3_pass,Attention3abutton,attention3a_pass
Sub046_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub051_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub090_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub040_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,1,FALSE,TRUE,1,TRUE
Sub023_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub049_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub005_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub071_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub047_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub064_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub067_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub072_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub089_ToD_Online,YA,Morning,TRUE,2,FALSE,FALSE,2,TRUE,TRUE,1,TRUE
Sub016_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub043_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,1,FALSE,TRUE,1,TRUE
Sub041_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub037_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub012_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub055_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub018_ToD_Online,OA,Night,TRUE,1,TRUE,FALSE,2,TRUE,TRUE,1,TRUE
Sub066_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub017_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub038_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub027_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub007_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub060_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub077_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub042_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,FALSE,1,TRUE
Sub015_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub081_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub063_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub045_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub014_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub019_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub026_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub032_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub053_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub003_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub010_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub076_ToD_Online,OA,Night,TRUE,1,TRUE,FALSE,2,TRUE,TRUE,1,TRUE
Sub021_ToD_Online,YA,Morning,TRUE,1,TRUE,FALSE,2,TRUE,TRUE,1,TRUE
Sub061_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub009_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub033_ToD_Online,YA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub025_ToD_Online,YA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub058_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub069_ToD_Online,OA,Night,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
Sub057_ToD_Online,OA,Morning,TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE
